profile,user,groups,Ptype,type,lic
profile.Reserves.readonly,x,temp.adjust.ecoresults.deny,[Profile],Template,
profile.Reserves.readonly,x,temp.adjust.fin.deny,[Profile],Template,
profile.Reserves.readonly,x,temp.adjust.input.readonly,[Profile],Template,
profile.Reserves.readonly,x,temp.admin.readonly,[Profile],Template,
profile.Reserves.readonly,x,temp.economics.readonly,[Profile],Template,
profile.Reserves.readonly,x,temp.ecoresults.readonly,[Profile],Template,
profile.Reserves.readonly,x,temp.financials.deny,[Profile],Template,
profile.Reserves.readonly,x,temp.input,[Profile],Template,
profile.Resources.Headoffice,x,profile.Resources.Headoffice,[Profile],PROFILE,
profile.Resources.local,x,profile.Resources.local,[Profile],PROFILE,
profile.Student.local,x,DataFlow.key,[Profile],DataFlow,
profile.Student.local,x,Economics.key,[Profile],Economics,
profile.Student.local,x,Financials.key,[Profile],Financials,
profile.Student.local,x,Input.Confirm,[Profile],General,
profile.Student.local,x,license.heavy,[Profile],License,
profile.Student.local,x,P2V.base,[Profile],General,
profile.Student.local,x,Portfolio,[Profile],Portfolio,
profile.Student.local,x,profile.Student.local,[Profile],PROFILE,
profile.Student.local,x,Reporting,[Profile],API,
profile.Student.local,x,Reserves.base,[Profile],Reserves,
profile.Student.local,x,Reserves.key,[Profile],Reserves,
profile.Student.local,x,temp.adjust.admin,[Profile],Template,
profile.Student.local,x,temp.adjust.eco,[Profile],Template,
profile.Student.local,x,temp.adjust.ecoresults,[Profile],Template,
profile.Student.local,x,temp.adjust.fin,[Profile],Template,
profile.Student.local,x,temp.adjust.input,[Profile],Template,
profile.Student.local,x,temp.admin,[Profile],Template,
profile.Student.local,x,temp.economics,[Profile],Template,
profile.Student.local,x,temp.ecoresults,[Profile],Template,
profile.Student.local,x,temp.financials,[Profile],Template,
profile.Student.local,x,temp.input,[Profile],Template,
ZZ.end.of.profiles,x,everyone,,,
